developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
Andrew Morrish,1,92.2,150000.0,6967,0.15
Andrew Quist,1,80.8,150000.0,9093,0.15
Andrew Smith,1,88.4,350000.0,3631,0.35
Andrew Willman,1,92.5,350000.0,3180,0.35
"AndrewDrumov, Sanke Berdochan",1,36.7,350000.0,5276,0.35
AndrewMD5,1,83.9,350000.0,3603,0.35
Andriy Bychkovskyi,1,92.9,150000.0,6371,0.15
Andy Church,1,89.4,150000.0,8954,0.15
Andy Law,1,88.0,350000.0,4626,0.35
Andy Makes,1,87.9,350000.0,5070,0.35
Andy Sztark,1,73.7,150000.0,7565,0.15
Anegar Games,1,90.7,3500000.0,389,3.5
Angel Matrix,1,98.2,350000.0,2787,0.35
Angela Game,2,68.5,825000.0,2620,0.82
Angela He,1,96.1,750000.0,2606,0.75
"Angels Blue Digital Entertainment, DigitalEZ",2,92.0,500000.0,4850,0.5
"Angry Cat Studios, Creatio 49",1,70.3,150000.0,8918,0.15
Angry Demon Studio,1,83.7,150000.0,9375,0.15
Angry Mob Games,2,81.6,500000.0,4151,0.5
"Aniki, Male Union ♂",1,91.9,350000.0,3333,0.35
Anima Project,1,67.4,150000.0,6057,0.15
Animal Uprising,1,98.2,350000.0,4108,0.35
Animation Arts,2,89.0,225000.0,8177,0.22
Animu Game,1,81.9,350000.0,3329,0.35
Animus Interactive Inc,1,54.0,150000.0,6738,0.15
Animyst Games,1,85.4,150000.0,8621,0.15
Anisoptera Games,1,94.1,350000.0,3826,0.35
Ankaar Productions,1,91.3,150000.0,5820,0.15
Ankake Spa,1,92.9,150000.0,8723,0.15
Ankama Games,1,86.8,150000.0,8358,0.15
Ankama Studio,3,71.0,2000000.0,844,2.0
Anomaly Games,1,76.9,150000.0,6305,0.15
Another Axiom Inc.,1,91.3,1500000.0,680,1.5
Another Story,1,85.4,350000.0,4902,0.35
Ant.Karlov Games,1,89.0,350000.0,4120,0.35
Antagonist,1,70.8,150000.0,7560,0.15
"Antanas Marcelionis, Renė Petrulienė",1,77.7,350000.0,3221,0.35
Anteater Games,1,72.5,350000.0,3714,0.35
Anthony Flack,1,90.6,75000.0,9977,0.08
"Antimatter Games, Tripwire Interactive",2,83.4,4250000.0,318,4.25
Antizero company,1,73.6,150000.0,6341,0.15
Antonio Freyre,1,85.3,150000.0,7067,0.15
Antonio Renna,1,43.6,150000.0,8463,0.15
AnukenDev,1,95.8,1500000.0,1443,1.5
"Anuman Interactive / Microids, Koalabs",1,76.9,150000.0,6722,0.15
Anvate Games,1,89.2,150000.0,6178,0.15
Anvil Game Studios,1,89.7,750000.0,1757,0.75
Anvio,1,67.8,150000.0,7137,0.15
Apeiron,1,73.4,150000.0,7208,0.15
Apex Studio,1,87.7,150000.0,8548,0.15
Apog Labs,1,83.7,750000.0,1593,0.75
Apogee Entertainment,1,87.8,150000.0,8413,0.15
"Apus Software, Three Donkeys LLC",1,87.3,150000.0,9181,0.15
Aquiris Game Studio,1,75.7,150000.0,8909,0.15
Arachnid Games,2,69.8,225000.0,9267,0.22
Aratog LLC,1,65.7,150000.0,6467,0.15
Arbitrary Metric,1,74.3,150000.0,9365,0.15
Arc System Works,14,83.7,8600000.0,372,8.6
"Arc System Works, ATLUS",1,86.8,350000.0,4484,0.35
Arcane Raise,1,57.6,150000.0,5977,0.15
Arcen Games,6,71.8,1500000.0,2852,1.5
Archangel Studios,1,73.9,150000.0,8366,0.15
Archetype Studios,1,55.5,150000.0,5889,0.15
Archmage Labs,1,85.0,350000.0,3778,0.35
Archpray Inc.,1,91.8,350000.0,5162,0.35
ArenaNet®,1,88.9,3500000.0,537,3.5
Ares Dragonis,2,68.4,225000.0,6391,0.22
"Ares Game Co., Ltd.",1,17.2,350000.0,3346,0.35
Argonautics,1,72.9,350000.0,5427,0.35
Arkane Austin,1,37.2,150000.0,6510,0.15
Arkane Studios,8,89.3,14850000.0,276,14.85
Arkavi Studios,1,19.8,150000.0,6338,0.15
Arkedo,1,85.2,1500000.0,1246,1.5
