developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
Sigyaad Team,1,91.0,75000.0,9736,0.08
Silden,2,38.6,300000.0,7696,0.3
Silent Dreams,4,67.8,650000.0,2967,0.65
SilentFuture,1,46.9,350000.0,5254,0.35
Sillysoft Games,1,81.3,75000.0,9436,0.08
Silver Dollar Games,2,97.1,1100000.0,1588,1.1
Silver Lining Studio,1,94.3,350000.0,5038,0.35
SimBin,2,79.8,1100000.0,2507,1.1
SimProse Studios,3,55.9,450000.0,6735,0.45
SimRail S.A.,1,84.2,150000.0,7552,0.15
SimTex,2,93.5,300000.0,5894,0.3
Simogo,3,94.0,650000.0,4618,0.65
Simon Blasen,1,90.5,750000.0,2643,0.75
"Simon Boxer, Twice Different",1,91.5,350000.0,5196,0.35
Simon Fredholm,2,78.3,500000.0,5613,0.5
Simple Blue,1,89.9,350000.0,5167,0.35
Simteract,1,61.6,150000.0,6629,0.15
Simula Games,1,70.8,75000.0,9896,0.08
Sinclair Strange,1,74.0,350000.0,5517,0.35
Sinister Systems,1,74.5,350000.0,4761,0.35
Sinned Games,1,65.4,350000.0,5426,0.35
SionoiS,1,60.0,150000.0,7493,0.15
Sir Bedlam Productions,1,79.8,350000.0,5515,0.35
Sir-Tech,1,81.2,150000.0,8505,0.15
Sir-Tech Canada,1,90.0,150000.0,6494,0.15
SirGoose,1,35.3,350000.0,3467,0.35
Sirhaian,1,92.3,350000.0,3362,0.35
Sirlin Games,1,60.9,350000.0,3661,0.35
"Six Foot, YAGER",1,68.0,750000.0,1510,0.75
Sixteen Tons Entertainment,4,72.4,1125000.0,3916,1.12
Size Five Games,3,74.9,775000.0,3002,0.78
Ska Studios,2,92.6,1650000.0,1184,1.65
Skatanic Studios,1,50.7,150000.0,8166,0.15
Sketchy Logic,1,94.8,150000.0,6558,0.15
Skirmish Mode Games,1,88.0,150000.0,6014,0.15
Skmaestro,1,64.0,75000.0,9665,0.08
"Skobbejak Games, Skermunkel",1,48.4,75000.0,9980,0.08
Skookum Arts,1,96.8,350000.0,4482,0.35
Skrollcat Studio,1,89.3,150000.0,5758,0.15
Skullcap Studios,1,74.5,1500000.0,711,1.5
Skunkape Games,1,93.2,350000.0,3426,0.35
Sky Machine Studios,1,64.5,150000.0,6146,0.15
Sky Ship Studios,1,35.2,150000.0,8384,0.15
Sky9 Games,1,81.2,150000.0,7467,0.15
"SkyBox Labs, Big Huge Games",1,94.7,1500000.0,724,1.5
"SkyBox Labs, Ensemble Studios, Forgotten Empires",1,93.2,3500000.0,581,3.5
SkyGoblin,1,86.8,150000.0,7583,0.15
Skybound Games,1,96.5,750000.0,1603,0.75
"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",1,95.8,7500000.0,160,7.5
Skybox Studio,1,75.0,150000.0,8360,0.15
Skydance Interactive,2,79.0,900000.0,1809,0.9
Skyhook Games,1,71.1,150000.0,6971,0.15
Skymarch Entertainment,1,70.8,75000.0,9653,0.08
Skyshine Games,1,59.4,150000.0,6959,0.15
Skywall Studios LLC,1,89.8,350000.0,2789,0.35
Slak Games,1,85.2,150000.0,9268,0.15
Slant Six Games,1,54.1,350000.0,5362,0.35
Slavic Magic,1,86.3,3500000.0,361,3.5
"Sledgehammer Games, Raven Software",4,63.2,6100000.0,657,6.1
"Sledgehammer Games, Treyarch, High Moon Studios, Raven Software, Beenox, Demonware",1,66.8,150000.0,5837,0.15
Sleepy Duck,1,91.0,150000.0,6500,0.15
Slid Studio,1,97.0,350000.0,3229,0.35
Slightly Mad Studios,6,70.9,4200000.0,1135,4.2
SlimeSmile,1,96.0,150000.0,6490,0.15
Slipgate Ironworks™,1,89.1,750000.0,2363,0.75
Slitherine Ltd.,3,84.8,450000.0,5763,0.45
Sloclap,2,82.4,1500000.0,1489,1.5
Slormite Studios,1,81.8,350000.0,2865,0.35
Slug Disco,1,94.5,750000.0,2326,0.75
Sluggerfly,2,85.2,700000.0,4186,0.7
Small Impact Games,1,71.4,1500000.0,1282,1.5
Small Town Studios,1,22.4,150000.0,9192,0.15
"SmallBü, Pillow Fight",1,96.3,150000.0,8128,0.15
Smart Game Booster,1,79.3,750000.0,1884,0.75
Smartbig Corportion,1,66.7,75000.0,9650,0.08
Smarter Games,1,85.1,150000.0,8833,0.15
Smartly Dressed Games,1,91.2,75000000.0,10,75.0
Smartmelon Games,1,84.3,150000.0,7767,0.15
Smilegate Entertainment,1,69.7,150000.0,6754,0.15
Smilegate RPG,1,71.0,75000000.0,11,75.0
"Smiling Buddha Games, LLC",1,89.3,150000.0,7917,0.15
"SmiteWorks USA, LLC",1,79.4,150000.0,8176,0.15
Smoking WOLF,1,94.1,750000.0,2235,0.75
Smorb Software,1,71.4,750000.0,1712,0.75
Smudged Cat Games Ltd,1,85.5,350000.0,4609,0.35
Snail Games USA,3,60.0,1575000.0,1600,1.58
Snails Arcade,1,70.1,150000.0,7406,0.15
Snapshot Games Inc.,2,74.0,500000.0,2838,0.5
Sneaky Bastards,1,83.2,350000.0,5422,0.35
Sneaky Yak Studio,1,82.9,350000.0,2981,0.35
Snoozy Kazoo,2,95.3,500000.0,5230,0.5
SnoutUp,2,96.2,3650000.0,631,3.65
Snow Girl,1,66.7,150000.0,8635,0.15
"SnowFlame, Back To Basics Gaming",2,80.8,1850000.0,1409,1.85
Snowbird Games,2,64.0,1650000.0,792,1.65
Snowblind Studios,1,81.3,1500000.0,855,1.5
Snowcastle Games,1,73.0,75000.0,9409,0.08
Snowed In Studios,1,67.8,150000.0,7535,0.15
Snowhound Games,1,74.7,150000.0,7442,0.15
Snowy Ash Games,1,94.6,150000.0,7681,0.15
So Far So Good,1,96.6,350000.0,5394,0.35
So Romantic,1,94.2,150000.0,5895,0.15
Sobaka Studio,3,86.7,650000.0,5133,0.65
Soccer Manager Ltd,6,70.7,2300000.0,2640,2.3
Soda Den,1,93.8,350000.0,5467,0.35
Soda Game Studio,1,76.1,150000.0,6258,0.15
"SoerGame, Kazakov Studios",1,73.8,150000.0,8503,0.15
SoftCowGames,1,77.3,350000.0,5383,0.35
SoftPlanet,1,94.1,150000.0,8105,0.15
SoftStar,1,58.7,150000.0,9083,0.15
SoftWarWare,1,71.4,150000.0,7614,0.15
"Softstar Technology (Beijing) Co.,Ltd",1,52.0,750000.0,1474,0.75
Softwaves,1,45.9,150000.0,8376,0.15
Sokpop Collective,3,86.5,375000.0,7670,0.38
Sole Survivor Games,1,73.8,150000.0,8881,0.15
Soleil Ltd.,4,70.7,4150000.0,655,4.15
Solest Games,1,78.6,150000.0,8499,0.15
SomaSim,2,79.2,500000.0,3085,0.5
Somber Pixel,1,92.5,75000.0,9599,0.08
Something Dark Studios,1,40.9,150000.0,8471,0.15
Something We Made,1,99.2,350000.0,5209,0.35
SomethingExtra,1,93.1,150000.0,5795,0.15
Sometimes You,5,55.1,3850000.0,1071,3.85
Somi,2,91.4,700000.0,3683,0.7
Sonalysts,1,78.3,150000.0,7600,0.15
Sonderland,1,74.9,150000.0,9241,0.15
Sonic Team,5,80.5,2150000.0,2097,2.15
"Sonic Team, Bitbaboon",1,84.3,750000.0,1692,0.75
"Sonic Team, Hardlight",1,59.5,750000.0,2236,0.75
Sorath,2,94.8,700000.0,2955,0.7
Sos Sosowski,2,89.0,900000.0,2623,0.9
Soul Assembly Ltd,1,68.5,150000.0,9054,0.15
Soul Catapult,1,47.8,75000.0,9411,0.08
SoulGame Studio,2,95.6,1100000.0,1765,1.1
Soulpotion,1,86.4,75000.0,9688,0.08
Sound Slide Team,1,76.8,150000.0,7096,0.15
SoundAndFuryGames,1,88.0,150000.0,6291,0.15
South East Games,1,95.9,1500000.0,882,1.5
Southend,1,68.8,350000.0,4660,0.35
Soviet Games,2,87.4,1100000.0,1599,1.1
Space Cat Studios,1,37.8,350000.0,2703,0.35
"Space Cat Studios, SnowFlame, Back To Basics Gaming",1,90.6,1500000.0,871,1.5
Space Colony Studios,1,92.0,150000.0,8316,0.15
Space Onigiri Game LLC,1,90.8,150000.0,8800,0.15
"Space Wedgie, LLC",1,72.1,350000.0,4469,0.35
SpaceCan,1,87.8,750000.0,1821,0.75
Spacelight Studio,1,94.8,350000.0,3313,0.35
Spare Parts Oasis,1,92.5,75000.0,9443,0.08
Spark Plug Games,1,41.7,350000.0,5333,0.35
Spark Unlimited,2,59.2,700000.0,2944,0.7
"Spark Unlimited, comcept Inc., Team NINJA",1,64.4,150000.0,8850,0.15
Sparks Games,1,77.9,150000.0,8920,0.15
Sparky Studios,1,94.4,150000.0,9324,0.15
Sparkypants,1,88.2,350000.0,4391,0.35
Sparkypants Studios LLC,1,69.4,350000.0,4797,0.35
"Sparkypants Studios, LLC",1,74.9,1500000.0,872,1.5
"Sparpweed, Codeglue",1,90.0,750000.0,1947,0.75
Sparrow Night,1,96.7,150000.0,7734,0.15
Spasman Games,1,88.1,350000.0,3112,0.35
Spearhead Games,2,77.2,3850000.0,651,3.85
Spectral Games,1,48.6,350000.0,3664,0.35
SpeedTutor,1,74.9,150000.0,8910,0.15
Spell Helix,1,72.1,150000.0,7473,0.15
Spellbook,1,67.8,75000.0,9855,0.08
Spellbound,5,66.8,1750000.0,2284,1.75
Spellgarden Games,1,94.5,350000.0,5611,0.35
Spicy Horse Games,2,75.2,1575000.0,1448,1.58
Spicyhorse Games,1,91.8,750000.0,1912,0.75
Spider Nest Games,1,92.8,350000.0,4489,0.35
Spiderling Studios,1,95.5,1500000.0,665,1.5
Spiders,6,72.2,2100000.0,1611,2.1
Spiderweb Software,4,87.4,600000.0,7723,0.6
"Spieleentwicklungskombinat GmbH, General Arcade",1,89.0,150000.0,7220,0.15
SpiffyBit,1,87.3,150000.0,6502,0.15
"Spike Chunsoft Co., Ltd.",13,84.1,10350000.0,583,10.35
"Spike Chunsoft Co., Ltd., Abstraction Games",3,95.8,2400000.0,1337,2.4
Spiky Caterpillar,1,66.5,150000.0,8776,0.15
SpinTop Games,1,71.2,75000.0,9931,0.08
Spiral Circus Games,1,76.9,150000.0,7125,0.15
Splash Damage,2,72.1,8250000.0,124,8.25
"Splash Damage, The Coalition",1,75.1,350000.0,3024,0.35
Splashteam,1,97.9,350000.0,3790,0.35
"Splendy Interactive, Wales Interactive",1,69.7,150000.0,8053,0.15
Split Polygon,1,69.1,150000.0,7640,0.15
Split Second Games,1,80.1,150000.0,8043,0.15
Spooky Doorway,1,94.5,350000.0,2701,0.35
Spooky Squid Games Inc.,1,83.3,350000.0,5639,0.35
Spoonful Of Wonder,1,86.0,150000.0,8130,0.15
Sports Interactive,11,86.2,25500000.0,189,25.5
Spotted Kiwi Interactive,1,66.7,1500000.0,1366,1.5
Springloaded,2,68.7,500000.0,3834,0.5
Spry Fox,1,90.1,350000.0,4739,0.35
Spry Fox LLC,1,75.8,350000.0,3913,0.35
Spytihněv,1,97.0,350000.0,3564,0.35
Squad,1,95.2,3500000.0,314,3.5
"Squanch Games, Inc.",2,90.0,825000.0,2554,0.82
Square Enix,40,81.5,31675000.0,244,31.68
Square Enix Montréal,2,89.2,700000.0,2923,0.7
"Square Enix, ACQUIRE Corp.",2,90.5,1100000.0,1761,1.1
"Square Enix, ARTDINK",2,77.9,500000.0,3411,0.5
"Square Enix, D4Enterprise Co.,Ltd.",1,61.4,150000.0,5883,0.15
"Square Enix, DotEmu SAS.",1,84.1,350000.0,3231,0.35
"Square Enix, Gemdrops, Inc.",2,94.4,300000.0,6990,0.3
"Square Enix, KOEI TECMO GAMES CO., LTD.",3,73.6,1650000.0,2001,1.65
"Square Enix, M2 Co., Ltd.",1,78.3,150000.0,6250,0.15
"Square Enix, PlatinumGames Inc.",1,87.1,3500000.0,425,3.5
"Square Enix, PopCap Games, Inc.",1,52.0,150000.0,7760,0.15
"Square Enix, TOSE CO., LTD.",1,89.9,750000.0,2178,0.75
"Square Enix, Toylogic Inc.",1,88.2,750000.0,1896,0.75
"Square Enix, tri-Ace",1,67.2,150000.0,7199,0.15
"Square Enix, xeen Inc.",1,94.3,150000.0,7042,0.15
Square Glade Games,1,76.3,150000.0,7939,0.15
"Squeaks D'Corgeh, Cogware Games",1,96.1,350000.0,5271,0.35
Squeaky Wheel Studio Inc,1,85.6,350000.0,3634,0.35
Stage Games Inc.,1,82.7,150000.0,8042,0.15
Stainless Games,4,72.0,1600000.0,2134,1.6
Stainless Games Ltd,3,85.0,850000.0,3897,0.85
Stainless Games Ltd.,1,70.9,3500000.0,443,3.5
Stairway Games,1,88.3,750000.0,1930,0.75
StalkerAlex,1,40.1,350000.0,4110,0.35
Standable,1,80.7,150000.0,6733,0.15
Standing Stone Games,2,76.2,5000000.0,271,5.0
Stanislaw Truchowski,1,70.0,350000.0,3846,0.35
Star Drifters,1,72.9,350000.0,3516,0.35
Star Garden Games,1,84.5,150000.0,8903,0.15
Star Gem Inc.,1,73.2,3500000.0,533,3.5
Star Vault AB,2,56.6,1500000.0,1880,1.5
Star-Star Studio,1,87.9,150000.0,8273,0.15
Starbreeze,1,79.4,1500000.0,794,1.5
Starbreeze Studios,1,43.4,3500000.0,442,3.5
Starbreeze Studios AB,1,94.5,1500000.0,810,1.5
Stardock,1,53.1,150000.0,8407,0.15
Stardock Entertainment,10,72.0,4250000.0,1235,4.25
"Stardock Entertainment, Oxide Games",1,74.4,350000.0,4447,0.35
StarryStarry,2,92.0,300000.0,8976,0.3
Startreming Games,1,63.6,150000.0,8430,0.15
Starward Industries,1,88.5,750000.0,1567,0.75
State of Play,2,91.1,500000.0,4843,0.5
Stately Snail,1,76.8,75000.0,9808,0.08
Steel City Interactive,1,62.8,750000.0,1554,0.75
Steel Crate Games,1,97.5,1500000.0,688,1.5
Steel Mantis,2,77.0,700000.0,3902,0.7
Steel Monkeys,1,84.1,350000.0,5588,0.35
Steel Wool Studios,3,92.6,2600000.0,957,2.6
SteelRaven7,1,96.9,1500000.0,704,1.5
Steelehouse VR Studios,1,71.7,150000.0,9197,0.15
Steelpan Interactive,1,97.1,75000.0,9830,0.08
Stefan Kelnberger,1,77.2,350000.0,4383,0.35
Stegersaurus Software Inc.,2,92.1,825000.0,1970,0.82
Stegosoft Games,1,94.2,150000.0,6406,0.15
Stellar Entertainment Limited,1,80.7,1500000.0,1301,1.5
"Stellar Entertainment, Criterion Games",1,62.2,750000.0,2438,0.75
"Stellar Jockeys, Gausswerks",1,93.9,350000.0,2747,0.35
"Stepford, Andyland, milkypossum",1,98.8,150000.0,6066,0.15
Stephane Bottin,1,61.8,75000.0,9515,0.08
Stephen Crabb,1,69.5,150000.0,7599,0.15
StephenAllen,1,59.4,750000.0,1540,0.75
Steppe Hare Studio,1,94.6,150000.0,7245,0.15
Stereo7 Games,1,52.9,150000.0,9000,0.15
Steven Colling,1,83.7,75000.0,9657,0.08
StevenHarmonGames,1,80.6,350000.0,4464,0.35
Sticks &amp; Stones,1,65.5,75000.0,9848,0.08
Still Running,1,73.6,150000.0,6339,0.15
Stitch Heads Entertainment,2,65.2,700000.0,3363,0.7
Stoic,4,83.4,1600000.0,1674,1.6
Stolen Couch Games,1,85.5,150000.0,8655,0.15
Stone Blade Entertainment,1,65.2,350000.0,4211,0.35
Stonebrick Studios,1,90.7,150000.0,7306,0.15
Stork Game,1,91.1,150000.0,8865,0.15
Stormcloud Games Limited,1,95.4,350000.0,4518,0.35
Stormind Games,1,74.1,150000.0,7511,0.15
Stormling Studios,2,75.1,225000.0,7128,0.22
Storybird,1,81.8,150000.0,8257,0.15
Storytaco,1,91.1,150000.0,6449,0.15
Stove Studio,2,83.3,500000.0,2832,0.5
"Stovetop, LLC",1,93.6,150000.0,9055,0.15
Straight Back Games,3,77.8,3725000.0,437,3.72
Straight Right,1,64.1,350000.0,5235,0.35
Stranga Games,1,86.5,150000.0,7302,0.15
"Stranga Games, TommahGames",1,61.2,150000.0,7660,0.15
Strange Fire,2,59.2,700000.0,3730,0.7
Strange Loop Games,2,84.6,1100000.0,2004,1.1
Strange Matter Studios,1,59.2,350000.0,3469,0.35
Strange Scaffold,3,85.2,450000.0,5918,0.45
StrangeLight Games,1,64.4,150000.0,6277,0.15
Strange_Indie_Team,1,72.3,150000.0,8276,0.15
Strangely Interactive Ltd,1,82.1,150000.0,9320,0.15
Strategy First,2,84.4,150000.0,9558,0.15
Strategy Labs,1,72.7,350000.0,4169,0.35
"Stratera Games, cukuto",1,82.4,150000.0,8362,0.15
Stray Bombay,1,46.7,150000.0,7202,0.15
Stray Fawn Studio,3,89.1,1050000.0,2932,1.05
"Strelka Games, Yonder",1,74.7,750000.0,2299,0.75
Stress Level Zero,4,87.5,2750000.0,967,2.75
Streum On Studio,4,69.2,2600000.0,2100,2.6
Striking Distance Studios,1,64.9,1500000.0,1015,1.5
Striped Panda Studios,1,92.4,350000.0,3276,0.35
Struckd AG,1,52.7,150000.0,6520,0.15
Stubby Games,1,90.0,750000.0,2690,0.75
Stuck In Attic,1,89.7,350000.0,3718,0.35
Studio 397,2,79.4,1100000.0,2653,1.1
Studio Aesthesia,1,96.5,75000.0,9762,0.08
Studio Amateur,2,90.7,500000.0,4299,0.5
Studio Bravarda,1,64.4,150000.0,8747,0.15
Studio Evil,1,83.8,150000.0,6917,0.15
Studio Fizbin,3,87.4,1050000.0,2085,1.05
"Studio Hatch Co., Ltd.",1,55.3,150000.0,8901,0.15
Studio II,2,80.6,700000.0,3057,0.7
Studio Inkyfox,1,92.5,350000.0,4986,0.35
"Studio Klondike, Team Nekojishi",1,92.8,350000.0,3879,0.35
Studio MDHR Entertainment Inc.,1,96.3,7500000.0,168,7.5
Studio Monolith,1,69.2,350000.0,4884,0.35
Studio Nanafushi,1,84.4,150000.0,8032,0.15
Studio Pixel,2,91.2,300000.0,6868,0.3
Studio Pixel Punk,2,93.0,300000.0,7991,0.3
Studio Plane Toast,1,91.3,350000.0,4096,0.35
Studio Seufz,1,92.3,350000.0,3533,0.35
Studio Surgical Scalpels,1,56.2,750000.0,2508,0.75
"Studio V, VLG",1,81.1,150000.0,7997,0.15
"Studio Wildcard, Grove Street Games, Instinct Games",1,59.1,3500000.0,421,3.5
"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",2,75.1,38500000.0,27,38.5
Studio Z 3D,1,68.2,150000.0,9198,0.15
Studio Élan,1,94.2,150000.0,7717,0.15
Studio48,1,68.5,150000.0,6251,0.15
StudioGoupil,1,75.7,350000.0,3120,0.35
"Stuffed Wombat, Silkersoft, Lukke, Rollin'Barrel",1,95.1,150000.0,8712,0.15
Stumpy,1,88.4,3500000.0,296,3.5
StunForge,1,89.9,350000.0,4657,0.35
Stunlock Studios,4,83.3,13250000.0,190,13.25
Stygian Software,1,87.2,350000.0,3510,0.35
Subatomic Studios LLC,1,64.9,150000.0,6845,0.15
Submersivo Game Studio,1,80.1,150000.0,8619,0.15
Subset Games,2,94.9,5000000.0,256,5.0
"Subvert Games, Polygon Moon",1,85.4,750000.0,2058,0.75
Subworld,1,94.4,1500000.0,1404,1.5
"Sucker Punch Productions, Nixxes Software",1,93.8,3500000.0,596,3.5
Sugarcane Games,1,89.5,350000.0,4972,0.35
Suits &amp; Sandals,1,95.7,150000.0,9002,0.15
Sukeban Games,1,97.4,750000.0,1958,0.75
SukeraSomero,1,86.1,350000.0,4847,0.35
Summerfall Studios,1,92.3,350000.0,4321,0.35
Summitsphere,1,96.2,150000.0,7776,0.15
Sumo Digital,7,76.2,3450000.0,1643,3.45
Sumo Digital Ltd,1,42.1,150000.0,7632,0.15
"Sumo Digital Ltd, Lucky Mountain Games",1,76.2,350000.0,3650,0.35
Sunblink,1,94.2,150000.0,6466,0.15
Suncrash,1,80.9,350000.0,4857,0.35
Sundae Month,1,73.1,150000.0,6640,0.15
Sunhead Games,1,96.6,150000.0,7914,0.15
Sunlight Games,2,32.2,300000.0,8307,0.3
Sunpeak Games,1,89.3,150000.0,7692,0.15
Sunseeker Games,1,96.7,350000.0,2908,0.35
Sunward Games,1,80.7,75000.0,9462,0.08
Super Bit Machine,1,85.0,150000.0,6425,0.15
Super Evil Megacorp,2,73.4,1100000.0,1485,1.1
Super Spin Digital,1,97.2,350000.0,4593,0.35
SuperVillain Studios,2,65.8,700000.0,3114,0.7
Superboss Games,1,90.5,350000.0,2754,0.35
Supergiant Games,5,94.6,16750000.0,157,16.75
Superkami,1,74.2,350000.0,4323,0.35
Superku,1,83.6,350000.0,3961,0.35
Supermassive Games,6,73.0,3100000.0,1921,3.1
Supra Games,3,89.6,2250000.0,1546,2.25
Survios,2,75.9,500000.0,3599,0.5
Sushee,1,77.5,150000.0,6013,0.15
Suspicious Developments,3,96.7,1850000.0,1584,1.85
Suzuki Suzuzou,1,94.6,350000.0,5166,0.35
Svantech Studios,1,75.1,150000.0,8063,0.15
Svarog Studios,1,56.2,150000.0,8219,0.15
Svavelstickan,1,97.3,750000.0,2650,0.75
Sven Co-op team,1,93.6,1500000.0,1416,1.5
Swan,1,91.9,350000.0,3963,0.35
"Swearl, LLC",1,68.7,150000.0,8870,0.15
Sweet Bandits Studios,1,81.8,350000.0,3481,0.35
Swell Games LLC,1,72.3,150000.0,7891,0.15
Swing Swing Submarine,3,85.0,375000.0,5833,0.38
Switchblade Monkeys Entertainment,1,70.7,75000.0,9864,0.08
Sword & Axe LLC,2,83.4,500000.0,3759,0.5
Swordtales,1,63.4,150000.0,5848,0.15
Symmetric Games,1,49.2,150000.0,7796,0.15
Synapse Games,1,63.4,350000.0,5579,0.35
"Synapse Games, Chinzilla",1,74.8,350000.0,4272,0.35
Synset,1,83.7,75000.0,9474,0.08
Synthetic Domain,1,88.1,350000.0,3209,0.35
Sysiac Games,1,92.8,150000.0,7674,0.15
System 3,1,76.9,150000.0,7451,0.15
System Era Softworks,1,92.1,3500000.0,338,3.5
System Erasure,2,93.3,300000.0,7401,0.3
Systemic Reaction™,2,66.0,1850000.0,729,1.85
Sólfar Studios,1,83.8,75000.0,9795,0.08
T-Bull,1,74.2,350000.0,5465,0.35
T.D,1,77.7,150000.0,6534,0.15
T19 Games,1,83.2,150000.0,8969,0.15
T3 Entertainment,1,60.7,750000.0,2342,0.75
T3Entertainment,1,57.1,150000.0,5959,0.15
TAD Productions AB,1,56.5,350000.0,4812,0.35
TAITO CORP.,1,67.8,150000.0,6881,0.15
"TALESSHOP Co., Ltd.",3,92.8,650000.0,3825,0.65
"TALLBOYS, tinyBuild",1,59.2,350000.0,4758,0.35
TAMSOFT CORPORATION,2,67.1,500000.0,3408,0.5
TARO,1,85.0,350000.0,3494,0.35
TB Games,2,62.7,500000.0,3585,0.5
TDGame Studio,1,98.2,350000.0,4875,0.35
TEAM HORAY,2,92.6,500000.0,2819,0.5
TEAM101,1,57.6,150000.0,7300,0.15
TECOPARK,2,81.6,1850000.0,1013,1.85
"TECOPARK, Gemdrops, Inc.",1,89.8,350000.0,5263,0.35
TERNOX,3,88.1,375000.0,8037,0.38
TFL Games,1,77.6,350000.0,3688,0.35
THE BROTHERHOOD,3,85.5,850000.0,3284,0.85
THE PARASIGHT,1,81.5,750000.0,2408,0.75
THQ Nordic,1,36.9,150000.0,6821,0.15
THQ Nordic Barcelona,1,70.4,1500000.0,1118,1.5
"THQ Nordic, Mind Over Matter Studios",1,49.6,350000.0,4386,0.35
THREE ONE ZERO,1,55.2,150000.0,7196,0.15
THS,1,89.3,3500000.0,593,3.5
TLM Partners,1,67.6,15000000.0,53,15.0
TML-Studios,5,70.7,1475000.0,2362,1.48
"TML-Studios, PEDEPE",1,66.6,150000.0,8734,0.15
TNT Team,1,71.3,150000.0,6892,0.15
"TOM CREATE, 株式会社トムクリエイト",1,83.5,750000.0,1931,0.75
TORaIKI,1,59.1,350000.0,5258,0.35
TPP Studio,2,85.9,700000.0,2723,0.7
TRAGsoft,1,85.3,750000.0,2535,0.75
TREASURE,1,94.6,150000.0,6209,0.15
TREBUCHET,1,86.7,150000.0,5804,0.15
TSUKUYOMIC,1,86.9,150000.0,6781,0.15
"TT Fusion, Traveller's Tales",1,86.8,750000.0,2574,0.75
TT Games,3,90.7,3350000.0,979,3.35
TT Games Ltd,2,90.6,2250000.0,1399,2.25
"TT Games, Feral Interactive (Mac)",3,89.2,1250000.0,2089,1.25
"TT Games, Feral interactive (Mac)",1,64.4,150000.0,7144,0.15
"TT Games, Traveller's Tales",1,78.4,750000.0,1799,0.75
TUNIC Team,1,91.7,1500000.0,1291,1.5
TUTGame,1,63.2,150000.0,6901,0.15
TVGS,1,98.4,15000000.0,65,15.0
Table 9 Studio,1,79.3,150000.0,6289,0.15
Tabletopia,1,62.8,750000.0,2426,0.75
Tactic Studios Inc.,1,72.2,150000.0,7506,0.15
Tactical Adventures,1,87.2,1500000.0,1165,1.5
Take IT Studio!,2,80.3,500000.0,4969,0.5
Tako Boy Studios LLC,1,73.4,150000.0,8089,0.15
Talawa Games,1,92.2,150000.0,6779,0.15
Tale of Tales,1,78.2,150000.0,8771,0.15
TaleWorlds Entertainment,4,91.5,24750000.0,86,24.75
Talentplace,3,56.2,1050000.0,3476,1.05
"Talia bob Mair, Angad Matharoo",1,93.3,150000.0,8185,0.15
"Talia bob Mair, Nicolás Delgado",1,97.5,150000.0,6216,0.15
Tall Story Studios,1,56.2,750000.0,2136,0.75
Talpel Games,1,34.5,75000.0,9456,0.08
Talvisota Team,1,88.4,350000.0,4292,0.35
Tamasenco,1,67.7,150000.0,7797,0.15
Tamationgames,1,91.2,150000.0,8367,0.15
"Tambouille, Géraud Zucchini, Chariospirale",1,96.0,150000.0,9178,0.15
Tamsoft,4,90.8,1125000.0,3204,1.12
Tango Gameworks,4,89.3,7250000.0,645,7.25
Tangrin Entertainment,1,58.7,150000.0,6053,0.15
Tann,1,96.8,350000.0,3671,0.35
Tap It Games,1,90.1,150000.0,8344,0.15
TapBlaze,1,88.7,150000.0,6300,0.15
Tape Corps,1,79.4,150000.0,7761,0.15
Taranasus,1,96.7,350000.0,5402,0.35
Targem Games,4,76.3,8475000.0,227,8.48
Tarsier Studios,2,94.4,9000000.0,201,9.0
Tasharen Entertainment Inc.,1,80.0,350000.0,2910,0.35
Tate Multimedia,3,78.0,1450000.0,2456,1.45
Tayanna Studios,1,66.0,350000.0,4571,0.35
Teal Fire,1,77.1,150000.0,7905,0.15
Team 6 Studios,1,18.0,350000.0,5303,0.35
Team Amorous,1,81.6,350000.0,3290,0.35
Team Arcana,1,84.9,150000.0,7619,0.15
Team Atma,1,89.4,150000.0,7631,0.15
"Team Bondi, Rockstar Leeds",1,85.9,3500000.0,534,3.5
Team Cherry,1,97.0,7500000.0,110,7.5
"Team Chex Quest HD, Flight School Studio",1,80.1,150000.0,7356,0.15
Team Curiosity ✦,1,96.3,350000.0,5301,0.35
Team DOTS,1,75.8,150000.0,5983,0.15
"Team DYO, Josia Roncancio",1,96.8,150000.0,6950,0.15
Team Eleven,1,92.8,150000.0,7680,0.15
Team Forbidden,1,89.3,350000.0,4685,0.35
Team Fortune,1,92.8,75000.0,9480,0.08
Team Fractal Alligator,1,93.6,3500000.0,634,3.5
"Team Fray, McLeodGaming",1,78.0,150000.0,8467,0.15
"Team Fusion Simulations, 1C: Maddox Games",1,71.0,350000.0,3744,0.35
Team Gotham,1,74.7,150000.0,9023,0.15
Team HalfBeard,1,86.6,150000.0,6322,0.15
Team Indev,1,66.5,75000.0,9692,0.08
Team Instant Defeat,1,92.2,150000.0,7550,0.15
Team Isolation,1,78.3,150000.0,8536,0.15
Team Jolly Roger,2,81.8,300000.0,7126,0.3
Team Junkfish,2,71.8,700000.0,4390,0.7
Team K,1,89.5,350000.0,4022,0.35
"Team Ladybug, WSS playground",2,95.3,1100000.0,1891,1.1
Team Meat,1,94.6,3500000.0,529,3.5
Team Morbid,1,87.4,75000.0,9798,0.08
"Team NINJA, KOEI TECMO GAMES CO., LTD.",1,68.8,750000.0,2616,0.75
