publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
Senpai Industrial Studios,17,5550000.0,67.8,21861,2.64,2,5.55
Telltale,9,5500000.0,86.3,67897,9.57,116,5.5
Aerosoft GmbH,15,5450000.0,67.8,56044,22.19,587,5.45
Kagura Games,17,5425000.0,86.3,64168,13.09,1585,5.42
Tripwire Presents,3,5350000.0,81.4,67336,26.66,1565,5.35
Thunder Lotus,3,5350000.0,84.9,59815,21.66,702,5.35
Armor Games Studios,16,5325000.0,89.1,51409,11.32,249,5.32
KISS ltd,16,5275000.0,61.2,10325,4.31,4,5.28
Techland Publishing,6,5250000.0,79.8,55582,11.66,91,5.25
Total Mayhem Games,5,5250000.0,87.3,94392,5.43,183,5.25
Konami Digital Entertainment,6,5200000.0,63.1,78281,0.0,989,5.2
Gameloft,8,5150000.0,62.5,39562,5.0,3587,5.15
Rusty Lake,8,5150000.0,96.8,70722,3.24,168,5.15
Monomi Park,2,5000000.0,96.2,171716,11.49,858,5.0
"Lucasfilm, LucasArts, Disney",2,5000000.0,95.6,57626,9.99,323,5.0
Subset Games,2,5000000.0,94.9,95268,12.49,1566,5.0
New World Interactive,2,5000000.0,87.1,146926,14.99,154,5.0
NetEase Games,3,5000000.0,77.7,32460,0.0,412,5.0
Wishlist Games,2,5000000.0,59.8,59480,0.0,121,5.0
Red Hook Studios,2,5000000.0,83.8,170995,32.49,3848,5.0
U.S. Army,2,5000000.0,74.6,13411,0.0,132,5.0
Atelier 801,2,5000000.0,81.5,32374,0.0,1284,5.0
Daybreak Game Company LLC,2,5000000.0,76.2,28225,0.0,793,5.0
Eugen Systems,7,5000000.0,79.4,58098,27.13,873,5.0
"Arc Games, THQ Nordic",2,5000000.0,84.0,113205,44.99,1573,5.0
Slitherine Ltd.,18,4975000.0,78.9,61660,26.96,1326,4.97
Wizards of the Coast LLC,4,4950000.0,82.2,30742,0.0,37,4.95
Strategy First,16,4850000.0,74.2,58718,8.07,85,4.85
Ironhide Game Studio,7,4800000.0,87.9,53272,8.38,386,4.8
Beamdog,6,4800000.0,89.5,47962,19.99,753,4.8
Frogwares,12,4750000.0,73.0,39759,19.07,38,4.75
GSC Game World,5,4725000.0,80.5,98334,17.59,446,4.72
Iceberg Interactive,17,4675000.0,69.9,45715,15.98,219,4.68
